Interval=	0,01 s
ExcelDateTime=	4,1975582292743056e+004	02.12.2014 13:58:30,093
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
5,62	0,984
5,63	1,000
5,64	1,018
5,65	1,039
5,66	1,059
5,67	1,075
5,68	1,086
5,69	1,094
5,7	1,101
5,71	1,108
5,72	1,116
5,73	1,126
5,74	1,137
5,75	1,150
5,76	1,164
5,77	1,177
5,78	1,188
5,79	1,194
5,8	1,196
5,81	1,193
5,82	1,189
5,83	1,192
5,84	1,217
5,85	1,268
5,86	1,321
5,87	1,345
5,88	1,343
5,89	1,340
5,9	1,349
5,91	1,359
5,92	1,358
5,93	1,341
5,94	1,319
5,95	1,309
5,96	1,315
5,97	1,334
5,98	1,353
5,99	1,360
6,0	1,356
6,01	1,349
6,02	1,349
6,03	1,358
6,04	1,376
6,05	1,408
6,06	1,449
6,07	1,492
6,08	1,525
6,09	1,543
6,1	1,553
6,11	1,565
6,12	1,581
6,13	1,601
6,14	1,619
6,15	1,637
6,16	1,654
6,17	1,671
6,18	1,683
6,19	1,693
6,2	1,706
6,21	1,726
6,22	1,747
6,23	1,763
6,24	1,778
6,25	1,801
6,26	1,839
6,27	1,888
6,28	1,939
6,29	1,982
6,3	2,012
6,31	2,041
6,32	2,075
6,33	2,109
6,34	2,134
6,35	2,149
6,36	2,161
6,37	2,176
6,38	2,206
6,39	2,256
6,4	2,311
6,41	2,341
6,42	2,336
6,43	2,319
6,44	2,322
6,45	2,339
6,46	2,346
6,47	2,345
6,48	2,346
6,49	2,357
6,5	2,368
6,51	2,364
6,52	2,344
6,53	2,311
6,54	2,271
6,55	2,232
6,56	2,198
6,57	2,169
6,58	2,146
6,59	2,123
6,6	2,099
6,61	2,074
6,62	2,046
6,63	2,011
6,64	1,968
6,65	1,918
6,66	1,864
6,67	1,808
6,68	1,748
6,69	1,686
6,7	1,622
6,71	1,556
6,72	1,490
6,73	1,423
6,74	1,356
6,75	1,287
6,76	1,218
6,77	1,149
6,78	1,082
6,79	1,014
6,8	0,946
6,81	0,876
6,82	0,801
6,83	0,724
6,84	0,646
6,85	0,569
6,86	0,499
6,87	0,435
6,88	0,374
6,89	0,315
6,9	0,263
6,91	0,224
6,92	0,191
6,93	0,143
6,94	0,083
6,95	0,027
6,96	-0,013
6,97	-0,043
6,98	-0,077
6,99	-0,120
7,0	-0,166
7,01	-0,208
7,02	-0,242
7,03	-0,272
7,04	-0,302
7,05	-0,339
7,06	-0,381
7,07	-0,424
7,08	-0,463
7,09	-0,495
7,1	-0,521
7,11	-0,539
7,12	-0,551
7,13	-0,559
7,14	-0,572
7,15	-0,591
7,16	-0,612
7,17	-0,628
7,18	-0,638
7,19	-0,645
7,2	-0,657
7,21	-0,677
7,22	-0,702
7,23	-0,728
7,24	-0,751
7,25	-0,768
7,26	-0,777
7,27	-0,782
7,28	-0,785
7,29	-0,787
7,3	-0,790
7,31	-0,793
7,32	-0,798
7,33	-0,806
7,34	-0,816
7,35	-0,828
7,36	-0,839
7,37	-0,849
7,38	-0,861
7,39	-0,876
7,4	-0,889
7,41	-0,892
7,42	-0,876
7,43	-0,848
7,44	-0,829
7,45	-0,824
7,46	-0,823
7,47	-0,818
7,48	-0,806
7,49	-0,791
7,5	-0,779
7,51	-0,774
7,52	-0,773
7,53	-0,771
7,54	-0,761
7,55	-0,739
7,56	-0,703
7,57	-0,656
7,58	-0,607
7,59	-0,568
7,6	-0,547
7,61	-0,547
7,62	-0,558
7,63	-0,565
7,64	-0,565
7,65	-0,564
7,66	-0,571
7,67	-0,587
7,68	-0,608
7,69	-0,628
7,7	-0,642
7,71	-0,647
7,72	-0,646
7,73	-0,640
7,74	-0,636
7,75	-0,639
7,76	-0,648
7,77	-0,662
7,78	-0,674
7,79	-0,679
7,8	-0,678
7,81	-0,672
7,82	-0,666
7,83	-0,664
7,84	-0,667
7,85	-0,671
7,86	-0,674
7,87	-0,676
7,88	-0,681
7,89	-0,693
7,9	-0,707
7,91	-0,720
7,92	-0,721
7,93	-0,704
7,94	-0,684
7,95	-0,683
7,96	-0,691
7,97	-0,691
7,98	-0,676
7,99	-0,652
8,0	-0,629
8,01	-0,623
8,02	-0,637
8,03	-0,658
8,04	-0,676
8,05	-0,687
8,06	-0,689
8,07	-0,686
8,08	-0,678
8,09	-0,667
8,1	-0,653
8,11	-0,633
8,12	-0,607
8,13	-0,575
8,14	-0,543
8,15	-0,517
8,16	-0,498
8,17	-0,483
8,18	-0,469
8,19	-0,450
8,2	-0,425
8,21	-0,393
8,22	-0,357
8,23	-0,319
8,24	-0,281
8,25	-0,241
8,26	-0,201
8,27	-0,163
8,28	-0,127
8,29	-0,090
8,3	-0,049
8,31	-0,005
8,32	0,037
8,33	0,073
8,34	0,103
8,35	0,129
8,36	0,158
8,37	0,189
8,38	0,222
8,39	0,252
8,4	0,279
8,41	0,310
8,42	0,355
8,43	0,413
8,44	0,464
8,45	0,497
8,46	0,519
8,47	0,547
8,48	0,585
8,49	0,628
8,5	0,665
8,51	0,689
8,52	0,701
8,53	0,711
8,54	0,726
8,55	0,745
8,56	0,763
8,57	0,777
8,58	0,787
8,59	0,799
8,6	0,814
8,61	0,834
8,62	0,865
8,63	0,907
8,64	0,959
8,65	1,008
8,66	1,051
8,67	1,084
8,68	1,115
8,69	1,151
8,7	1,192
8,71	1,231
8,72	1,268
8,73	1,304
8,74	1,342
8,75	1,382
8,76	1,423
8,77	1,467
8,78	1,514
8,79	1,565
8,8	1,617
8,81	1,663
8,82	1,701
8,83	1,732
8,84	1,761
8,85	1,793
8,86	1,832
8,87	1,877
8,88	1,921
8,89	1,957
8,9	1,984
8,91	2,016
8,92	2,060
8,93	2,111
8,94	2,144
8,95	2,147
8,96	2,144
8,97	2,163
8,98	2,199
8,99	2,229
9,0	2,246
9,01	2,260
9,02	2,281
9,03	2,304
9,04	2,317
9,05	2,314
9,06	2,301
9,07	2,283
9,08	2,268
9,09	2,265
9,1	2,282
9,11	2,321
9,12	2,371
9,13	2,421
9,14	2,462
9,15	2,491
9,16	2,508
9,17	2,523
9,18	2,544
9,19	2,571
9,2	2,596
9,21	2,618
9,22	2,640
9,23	2,668
9,24	2,697
9,25	2,724
9,26	2,749
9,27	2,772
9,28	2,794
9,29	2,816
9,3	2,834
9,31	2,846
9,32	2,854
9,33	2,861
9,34	2,866
9,35	2,868
9,36	2,861
9,37	2,849
9,38	2,837
9,39	2,824
9,4	2,813
9,41	2,811
9,42	2,813
9,43	2,798
9,44	2,748
9,45	2,675
9,46	2,618
9,47	2,592
9,48	2,565
9,49	2,510
9,5	2,438
9,51	2,369
9,52	2,311
9,53	2,253
9,54	2,186
9,55	2,106
9,56	2,021
9,57	1,936
9,58	1,856
9,59	1,782
9,6	1,717
9,61	1,662
9,62	1,613
9,63	1,564
9,64	1,511
9,65	1,449
9,66	1,379
